,Raf,Mek,Erk,PKA,PKC,Akt,P38,Jnk,Plcg,PIP2,PIP3,Context
0,-0.8506954622488175,-1.7645251373392008,0.13399732371453016,-0.27448304604604357,-1.2631098289539409,-0.797675937588172,0.731043209075562,-1.5255519005965874,-0.26287341179780677,1.3331127681121695,1.7337931999368532,9
1,-1.0580520691386155,-1.7631414022192031,1.3861729571418089,-0.215887980525542,-1.1307303851517378,0.30568063790943106,1.1320861372788433,-1.5492634789905786,0.07167209365870372,0.47804923106358205,0.8001123446878949,9
2,-2.4182412993047215,-1.6347408487047452,-0.5597090388911361,0.39760358964887194,0.42324066187274556,-1.1156084358643756,0.03531848085625665,-1.5611852547397138,-0.5402652912346151,0.8058353684746928,0.2522064388023119,9
3,-1.2082820286988911,-1.7631414022192031,-0.6693670032946231,0.4774989745407599,-0.2798370725745126,-0.6871122442596668,-0.6340928153638521,-1.5582008932530624,0.8820143418174854,1.302590794012607,2.069241069698843,9
4,-0.6634498408444612,-1.7645251373392008,-0.7726806325480615,-0.06146998681289528,0.36913280704039786,-0.9592219700482727,0.4642254297411278,-0.9442522198098959,-0.11547287576222888,-0.3976883985359883,-0.046809164616247956,9
5,-0.4507187956729697,-1.7645251373392008,-0.3361500490852915,-0.29509215218313706,-1.3541083433828514,-1.260059152564679,2.046188308733604,-1.4256925333730426,0.4783082483669739,0.9438176456497843,1.7446020689649282,9
6,-1.0580520691386155,-1.7631414022192031,0.39750667230234715,-0.06803257198717834,-1.3804966215883252,-0.5907140556436372,-1.6926185711564026,-1.565666560930539,0.19648794651593976,0.9841326475324156,0.8302578489495575,9
7,-0.3205206242618797,-1.1445340973460432,-0.1617295457378888,-0.31629113019635113,-1.3804966215883252,-0.8938540144921373,0.7162254942738043,-1.5433186420075287,0.20423224624978903,-0.6039760546047761,-0.1452331637922682,9
8,-0.08195015241759303,-1.299863082588274,2.0965376758125065,1.5966981374725497,-1.3804966215883252,1.4677727771954225,-2.014168104580333,-1.579143536305815,1.0487709850042648,0.0124270767138775,0.04992763132253041,9
9,-1.0249572171863008,-1.7645251373392008,0.5440374736783693,-0.215887980525542,-1.3804966215883252,-0.33460544375526086,1.3248851248423945,-1.4271084933653349,-1.1375409321901264,-1.4520066293172977,-0.19408275601764885,9
10,-1.0065318131469383,-1.7645251373392008,-0.37600649996454805,-0.22942456510126202,-1.3804966215883252,-0.9098373898658655,2.3880407889144353,-1.417217735171422,0.6607011276027398,1.248401480686102,1.7132482095074837,9
11,0.7981696924157192,-1.7645251373392008,-0.3283380700307956,-0.14190952930636833,-1.3804966215883252,-0.9876395811371633,-1.089603836599654,-1.579143536305815,0.738581175666235,0.03705448451444325,-0.1799222953527031,9
12,-1.1486008772433594,-1.7355855927621382,1.0807688259830805,0.5637861317096895,-1.3672835851275214,0.007375204682948911,-2.014168104580333,-1.2169392057697268,0.3758648874789331,1.0680578629381206,1.7645984986576595,9
